textBox7,textBox12,textBox1,textBox13,textBox15,textBox17,textBox5,textBox8,textBox9,textBox10,textBox11,textBox14,textBox16,textBox3,hAB_IDCaptionTextBox,lOCATIONCaptionTextBox,pHCaptionTextBox,tEMPCaptionTextBox,lATITUDECaptionTextBox,cITYCaptionTextBox,textBox4,textBox19,textBox2,textBox20,lOCATIONDataTextBox,cOUNTYDataTextBox,lATITUDEDataTextBox,tEMPDataTextBox,pHDataTextBox,hAB_IDDataTextBox,textBox18,textBox6,textBox21
Fish and Wildlife Research Institute,Fish Kill Database Search Result Report,10/5/2021,To:,1/1/1995,From:,County Selected:,"Hillsborough,Pinellas,Manatee",Probable Cause:,Red Tide,,Note:,"This report is distributed by the Fish and Wildlife Conservation Commission's and Fish and Wildlife Research Institute. These summaries account for fish and wildlife health-related communications received by the Fish and Wildlife Health Group via the statewide Marine Fish Kill Hotline. While every practical step has been taken to make these summaries accurate and informative, reports are summarized and they do not necessary reflect the observations of scientifically trained individuals. Although FWH follows up with each report initiator, FWH is not able to verify every account through direct observation.",,Report Number,Water Body Name,Specimen Count,County,Call Category,City,,Report Date,Comments,ID,Bullfrog Creek,Ruskin,Fish Kill,Hillsborough,,41795,Species Unknown,04/17/1995,4491
Fish and Wildlife Research Institute,Fish Kill Database Search Result Report,10/5/2021,To:,1/1/1995,From:,County Selected:,"Hillsborough,Pinellas,Manatee",Probable Cause:,Red Tide,,Note:,"This report is distributed by the Fish and Wildlife Conservation Commission's and Fish and Wildlife Research Institute. These summaries account for fish and wildlife health-related communications received by the Fish and Wildlife Health Group via the statewide Marine Fish Kill Hotline. While every practical step has been taken to make these summaries accurate and informative, reports are summarized and they do not necessary reflect the observations of scientifically trained individuals. Although FWH follows up with each report initiator, FWH is not able to verify every account through direct observation.",,Report Number,Water Body Name,Specimen Count,County,Call Category,City,,Report Date,Comments,ID,Ozona,Palm Harbor,Fish Kill,Hillsborough,,42095,"Mullet, Angelfish",04/20/1995,4493
Fish and Wildlife Research Institute,Fish Kill Database Search Result Report,10/5/2021,To:,1/1/1995,From:,County Selected:,"Hillsborough,Pinellas,Manatee",Probable Cause:,Red Tide,,Note:,"This report is distributed by the Fish and Wildlife Conservation Commission's and Fish and Wildlife Research Institute. These summaries account for fish and wildlife health-related communications received by the Fish and Wildlife Health Group via the statewide Marine Fish Kill Hotline. While every practical step has been taken to make these summaries accurate and informative, reports are summarized and they do not necessary reflect the observations of scientifically trained individuals. Although FWH follows up with each report initiator, FWH is not able to verify every account through direct observation.",,Report Number,Water Body Name,Specimen Count,County,Call Category,City,,Report Date,Comments,ID,Treasure Island,Treasure Island,Fish Kill,Pinellas,,50995,Catfish,05/09/1995,4494
Fish and Wildlife Research Institute,Fish Kill Database Search Result Report,10/5/2021,To:,1/1/1995,From:,County Selected:,"Hillsborough,Pinellas,Manatee",Probable Cause:,Red Tide,,Note:,"This report is distributed by the Fish and Wildlife Conservation Commission's and Fish and Wildlife Research Institute. These summaries account for fish and wildlife health-related communications received by the Fish and Wildlife Health Group via the statewide Marine Fish Kill Hotline. While every practical step has been taken to make these summaries accurate and informative, reports are summarized and they do not necessary reflect the observations of scientifically trained individuals. Although FWH follows up with each report initiator, FWH is not able to verify every account through direct observation.",,Report Number,Water Body Name,Specimen Count,County,Call Category,City,,Report Date,Comments,ID,14 miles SSE of Clearwater Pass,St Petersburg,Fish Kill,Pinellas,,70695,Snappers,07/06/1995,4461
Fish and Wildlife Research Institute,Fish Kill Database Search Result Report,10/5/2021,To:,1/1/1995,From:,County Selected:,"Hillsborough,Pinellas,Manatee",Probable Cause:,Red Tide,,Note:,"This report is distributed by the Fish and Wildlife Conservation Commission's and Fish and Wildlife Research Institute. These summaries account for fish and wildlife health-related communications received by the Fish and Wildlife Health Group via the statewide Marine Fish Kill Hotline. While every practical step has been taken to make these summaries accurate and informative, reports are summarized and they do not necessary reflect the observations of scientifically trained individuals. Although FWH follows up with each report initiator, FWH is not able to verify every account through direct observation.",,Report Number,Water Body Name,Specimen Count,County,Call Category,City,,Report Date,Comments,ID,Mocasin Creek,Oldsmar,Fish Kill,Pinellas,,82395,"Snook, Species Unknown",08/23/1995,4502
Fish and Wildlife Research Institute,Fish Kill Database Search Result Report,10/5/2021,To:,1/1/1995,From:,County Selected:,"Hillsborough,Pinellas,Manatee",Probable Cause:,Red Tide,,Note:,"This report is distributed by the Fish and Wildlife Conservation Commission's and Fish and Wildlife Research Institute. These summaries account for fish and wildlife health-related communications received by the Fish and Wildlife Health Group via the statewide Marine Fish Kill Hotline. While every practical step has been taken to make these summaries accurate and informative, reports are summarized and they do not necessary reflect the observations of scientifically trained individuals. Although FWH follows up with each report initiator, FWH is not able to verify every account through direct observation.",,Report Number,Water Body Name,Specimen Count,County,Call Category,City,,Report Date,Comments,ID,Tampa Bay,St Petersburg,Fish Kill,Pinellas,,91595,Red Drum,09/15/1995,4505
Fish and Wildlife Research Institute,Fish Kill Database Search Result Report,10/5/2021,To:,1/1/1995,From:,County Selected:,"Hillsborough,Pinellas,Manatee",Probable Cause:,Red Tide,,Note:,"This report is distributed by the Fish and Wildlife Conservation Commission's and Fish and Wildlife Research Institute. These summaries account for fish and wildlife health-related communications received by the Fish and Wildlife Health Group via the statewide Marine Fish Kill Hotline. While every practical step has been taken to make these summaries accurate and informative, reports are summarized and they do not necessary reflect the observations of scientifically trained individuals. Although FWH follows up with each report initiator, FWH is not able to verify every account through direct observation.",,Report Number,Water Body Name,Specimen Count,County,Call Category,City,,Report Date,Comments,ID,Tampa Bay,St Petersburg,Fish Kill,Pinellas,,91895,"Red Drum, Grouper",09/18/1995,4506
Fish and Wildlife Research Institute,Fish Kill Database Search Result Report,10/5/2021,To:,1/1/1995,From:,County Selected:,"Hillsborough,Pinellas,Manatee",Probable Cause:,Red Tide,,Note:,"This report is distributed by the Fish and Wildlife Conservation Commission's and Fish and Wildlife Research Institute. These summaries account for fish and wildlife health-related communications received by the Fish and Wildlife Health Group via the statewide Marine Fish Kill Hotline. While every practical step has been taken to make these summaries accurate and informative, reports are summarized and they do not necessary reflect the observations of scientifically trained individuals. Although FWH follows up with each report initiator, FWH is not able to verify every account through direct observation.",,Report Number,Water Body Name,Specimen Count,County,Call Category,City,,Report Date,Comments,ID,Gulf of Mexico,St Petersburg,Fish Kill,Pinellas,,91995,All Kinds,09/19/1995,4507
Fish and Wildlife Research Institute,Fish Kill Database Search Result Report,10/5/2021,To:,1/1/1995,From:,County Selected:,"Hillsborough,Pinellas,Manatee",Probable Cause:,Red Tide,,Note:,"This report is distributed by the Fish and Wildlife Conservation Commission's and Fish and Wildlife Research Institute. These summaries account for fish and wildlife health-related communications received by the Fish and Wildlife Health Group via the statewide Marine Fish Kill Hotline. While every practical step has been taken to make these summaries accurate and informative, reports are summarized and they do not necessary reflect the observations of scientifically trained individuals. Although FWH follows up with each report initiator, FWH is not able to verify every account through direct observation.",,Report Number,Water Body Name,Specimen Count,County,Call Category,City,,Report Date,Comments,ID,Tampa Bay,Tierra Verde,Fish Kill,Pinellas,,92195,Shrimp,09/21/1995,4508
Fish and Wildlife Research Institute,Fish Kill Database Search Result Report,10/5/2021,To:,1/1/1995,From:,County Selected:,"Hillsborough,Pinellas,Manatee",Probable Cause:,Red Tide,,Note:,"This report is distributed by the Fish and Wildlife Conservation Commission's and Fish and Wildlife Research Institute. These summaries account for fish and wildlife health-related communications received by the Fish and Wildlife Health Group via the statewide Marine Fish Kill Hotline. While every practical step has been taken to make these summaries accurate and informative, reports are summarized and they do not necessary reflect the observations of scientifically trained individuals. Although FWH follows up with each report initiator, FWH is not able to verify every account through direct observation.",,Report Number,Water Body Name,Specimen Count,County,Call Category,City,,Report Date,Comments,ID,St. Pete Pier,St Petersburg,Fish Kill,Pinellas,,101495,Catfish,10/14/1995,4511
