FID,Sample_Dat,Sample_Tim,Time_Zone,Sample_Dep,Latitude,Longitude,County,Karenia_br,Temp___C_,Salinity,Proofed_,month,Segment,year
8080,1/4/1995,NA,NA,0.5,27.789,-82.5692,Pinellas,0,0,0,Yes,1,MTB,1995
8081,1/4/1995,NA,NA,0.5,27.8075,-82.5208,Hillsborough,0,0,0,Yes,1,MTB,1995
8082,1/4/1995,NA,NA,0.5,27.819,-82.5692,Pinellas,0,0,0,Yes,1,MTB,1995
8099,1/10/1995,NA,NA,0.5,27.7692,-82.4535,Hillsborough,0,0,0,Yes,1,MTB,1995
8100,1/10/1995,NA,NA,0.5,27.7758,-82.5208,Hillsborough,0,0,0,Yes,1,MTB,1995
8101,1/10/1995,NA,NA,0.5,27.785,-82.4295,Hillsborough,0,0,0,Yes,1,MTB,1995
8102,1/10/1995,NA,NA,0.5,27.8063,-82.4428,Hillsborough,0,0,0,Yes,1,MTB,1995
8103,1/10/1995,NA,NA,0.5,27.8077,-82.4838,Hillsborough,0,0,0,Yes,1,MTB,1995
8112,1/11/1995,19:10:00,GMT,0.5,27.5394,-82.7427,Manatee,0,19.5,32,Yes,1,LTB,1995
8113,1/11/1995,16:05:00,GMT,0.5,27.6212,-82.7135,Pinellas,0,18,33,Yes,1,LTB,1995
8114,1/11/1995,15:30:00,GMT,0.5,27.633,-82.6653,Hillsborough,0,18,30,Yes,1,LTB,1995
8115,1/17/1995,NA,NA,0.5,27.5394,-82.7427,Manatee,0,0,30,Yes,1,LTB,1995
8116,1/17/1995,NA,NA,0.5,27.633,-82.6653,Hillsborough,0,0,29,Yes,1,LTB,1995
8117,1/18/1995,NA,NA,0.5,27.5747,-82.7403,Hillsborough,0,0,0,Yes,1,LTB,1995
8118,1/18/1995,NA,NA,0.5,27.575,-82.6867,Manatee,0,0,0,Yes,1,LTB,1995
8119,1/18/1995,NA,NA,0.5,27.5835,-82.6175,Manatee,0,0,0,Yes,1,LTB,1995
8120,1/18/1995,NA,NA,0.5,27.605,-82.6903,Hillsborough,0,0,0,Yes,1,LTB,1995
8121,1/18/1995,NA,NA,0.5,27.6207,-82.5903,Manatee,0,0,0,Yes,1,LTB,1995
8122,1/18/1995,NA,NA,0.5,27.6217,-82.6373,Hillsborough,0,0,0,Yes,1,LTB,1995
8123,1/18/1995,NA,NA,0.5,27.6383,-82.6883,Hillsborough,0,0,0,Yes,1,LTB,1995
8124,1/18/1995,NA,NA,0.5,27.6522,-82.6688,Hillsborough,0,0,0,Yes,1,LTB,1995
8125,1/18/1995,NA,NA,0.5,27.6583,-82.592,Hillsborough,0,0,0,Yes,1,LTB,1995
8126,1/18/1995,NA,NA,0.5,27.6677,-82.5507,Hillsborough,0,0,0,Yes,1,MTB,1995
8127,1/18/1995,NA,NA,0.5,27.6932,-82.5432,Hillsborough,0,0,0,Yes,1,MTB,1995
8128,1/18/1995,NA,NA,0.5,27.7047,-82.6057,Pinellas,0,0,0,Yes,1,MTB,1995
8129,1/18/1995,NA,NA,0.5,27.7202,-82.5342,Hillsborough,0,0,0,Yes,1,MTB,1995
8130,1/18/1995,NA,NA,0.5,27.7383,-82.502,Hillsborough,0,0,0,Yes,1,MTB,1995
8131,1/18/1995,NA,NA,0.5,27.7505,-82.57,Pinellas,0,0,0,Yes,1,MTB,1995
8132,1/19/1995,18:50:00,GMT,0.5,27.5394,-82.7427,Manatee,0,19.5,32,Yes,1,LTB,1995
8133,1/19/1995,15:25:00,GMT,0.5,27.6212,-82.7135,Pinellas,333,18,32,Yes,1,LTB,1995
8134,1/27/1995,16:15:00,GMT,0.5,27.6133,-82.7391,Pinellas,0,16,31,Yes,1,LTB,1995
8135,1/27/1995,16:00:00,GMT,0.5,27.6822,-82.7373,Pinellas,0,16.5,30,Yes,1,LTB,1995
8136,2/1/1995,NA,NA,0.5,27.789,-82.5692,Pinellas,0,0,0,Yes,2,MTB,1995
8137,2/1/1995,NA,NA,0.5,27.8075,-82.5208,Hillsborough,0,0,0,Yes,2,MTB,1995
8138,2/1/1995,NA,NA,0.5,27.819,-82.5692,Pinellas,0,0,0,Yes,2,MTB,1995
8155,2/2/1995,17:15:00,GMT,0.5,27.5394,-82.7427,Manatee,0,17,32,Yes,2,LTB,1995
8156,2/2/1995,14:05:00,GMT,0.5,27.6212,-82.7135,Pinellas,0,17,32,Yes,2,LTB,1995
8157,2/7/1995,NA,NA,0.5,27.7692,-82.4535,Hillsborough,0,0,0,Yes,2,MTB,1995
8158,2/7/1995,NA,NA,0.5,27.7758,-82.5208,Hillsborough,0,0,0,Yes,2,MTB,1995
8159,2/7/1995,NA,NA,0.5,27.785,-82.4295,Hillsborough,0,0,0,Yes,2,MTB,1995
8160,2/7/1995,NA,NA,0.5,27.8063,-82.4428,Hillsborough,0,0,0,Yes,2,MTB,1995
8161,2/7/1995,NA,NA,0.5,27.8077,-82.4838,Hillsborough,0,0,0,Yes,2,MTB,1995
8170,2/14/1995,NA,NA,0.5,27.5747,-82.7403,Hillsborough,0,0,0,Yes,2,LTB,1995
8171,2/14/1995,NA,NA,0.5,27.575,-82.6867,Manatee,0,0,0,Yes,2,LTB,1995
8172,2/14/1995,NA,NA,0.5,27.5835,-82.6175,Manatee,0,0,0,Yes,2,LTB,1995
8173,2/14/1995,NA,NA,0.5,27.605,-82.6903,Hillsborough,0,0,0,Yes,2,LTB,1995
8174,2/14/1995,NA,NA,0.5,27.6207,-82.5903,Manatee,0,0,0,Yes,2,LTB,1995
8175,2/14/1995,NA,NA,0.5,27.6217,-82.6373,Hillsborough,0,0,0,Yes,2,LTB,1995
8176,2/14/1995,NA,NA,0.5,27.6383,-82.6883,Hillsborough,0,0,0,Yes,2,LTB,1995
8177,2/14/1995,NA,NA,0.5,27.6522,-82.6688,Hillsborough,0,0,0,Yes,2,LTB,1995
8178,2/14/1995,NA,NA,0.5,27.6583,-82.592,Hillsborough,0,0,0,Yes,2,LTB,1995
8179,2/14/1995,NA,NA,0.5,27.6677,-82.5507,Hillsborough,0,0,0,Yes,2,MTB,1995
8180,2/14/1995,NA,NA,0.5,27.6932,-82.5432,Hillsborough,0,0,0,Yes,2,MTB,1995
8181,2/14/1995,NA,NA,0.5,27.7047,-82.6057,Pinellas,0,0,0,Yes,2,MTB,1995
8182,2/14/1995,NA,NA,0.5,27.7202,-82.5342,Hillsborough,0,0,0,Yes,2,MTB,1995
8183,2/14/1995,NA,NA,0.5,27.7383,-82.502,Hillsborough,0,0,0,Yes,2,MTB,1995
8184,2/14/1995,NA,NA,0.5,27.7505,-82.57,Pinellas,0,0,0,Yes,2,MTB,1995
8185,3/1/1995,NA,NA,0.5,27.789,-82.5692,Pinellas,0,0,0,Yes,3,MTB,1995
8186,3/1/1995,NA,NA,0.5,27.8075,-82.5208,Hillsborough,0,0,0,Yes,3,MTB,1995
8187,3/1/1995,NA,NA,0.5,27.819,-82.5692,Pinellas,0,0,0,Yes,3,MTB,1995
8204,3/7/1995,NA,NA,0.5,27.7692,-82.4535,Hillsborough,0,0,0,Yes,3,MTB,1995
8205,3/7/1995,NA,NA,0.5,27.7758,-82.5208,Hillsborough,0,0,0,Yes,3,MTB,1995
8206,3/7/1995,NA,NA,0.5,27.785,-82.4295,Hillsborough,0,0,0,Yes,3,MTB,1995
8207,3/7/1995,NA,NA,0.5,27.8063,-82.4428,Hillsborough,0,0,0,Yes,3,MTB,1995
8208,3/7/1995,NA,NA,0.5,27.8077,-82.4838,Hillsborough,0,0,0,Yes,3,MTB,1995
8217,3/14/1995,NA,NA,0.5,27.5747,-82.7403,Hillsborough,0,0,0,Yes,3,LTB,1995
8218,3/14/1995,NA,NA,0.5,27.575,-82.6867,Manatee,0,0,0,Yes,3,LTB,1995
8219,3/14/1995,NA,NA,0.5,27.5835,-82.6175,Manatee,0,0,0,Yes,3,LTB,1995
8220,3/14/1995,NA,NA,0.5,27.605,-82.6903,Hillsborough,0,0,0,Yes,3,LTB,1995
8221,3/14/1995,NA,NA,0.5,27.6207,-82.5903,Manatee,0,0,0,Yes,3,LTB,1995
8222,3/14/1995,NA,NA,0.5,27.6217,-82.6373,Hillsborough,0,0,0,Yes,3,LTB,1995
8223,3/14/1995,NA,NA,0.5,27.6383,-82.6883,Hillsborough,0,0,0,Yes,3,LTB,1995
8224,3/14/1995,NA,NA,0.5,27.6522,-82.6688,Hillsborough,0,0,0,Yes,3,LTB,1995
8225,3/14/1995,NA,NA,0.5,27.6583,-82.592,Hillsborough,0,0,0,Yes,3,LTB,1995
8226,3/14/1995,NA,NA,0.5,27.6677,-82.5507,Hillsborough,0,0,0,Yes,3,MTB,1995
8227,3/14/1995,NA,NA,0.5,27.6932,-82.5432,Hillsborough,0,0,0,Yes,3,MTB,1995
8228,3/14/1995,NA,NA,0.5,27.7047,-82.6057,Pinellas,0,0,0,Yes,3,MTB,1995
8229,3/14/1995,NA,NA,0.5,27.7202,-82.5342,Hillsborough,0,0,0,Yes,3,MTB,1995
8230,3/14/1995,NA,NA,0.5,27.7383,-82.502,Hillsborough,0,0,0,Yes,3,MTB,1995
8231,3/14/1995,NA,NA,0.5,27.7505,-82.57,Pinellas,0,0,0,Yes,3,MTB,1995
8232,4/4/1995,NA,NA,0.5,27.789,-82.5692,Pinellas,0,0,0,Yes,4,MTB,1995
8233,4/4/1995,NA,NA,0.5,27.8075,-82.5208,Hillsborough,0,0,0,Yes,4,MTB,1995
8234,4/4/1995,NA,NA,0.5,27.819,-82.5692,Pinellas,0,0,0,Yes,4,MTB,1995
8251,4/11/1995,NA,NA,0.5,27.7692,-82.4535,Hillsborough,0,0,0,Yes,4,MTB,1995
8252,4/11/1995,NA,NA,0.5,27.7758,-82.5208,Hillsborough,0,0,0,Yes,4,MTB,1995
8253,4/11/1995,NA,NA,0.5,27.785,-82.4295,Hillsborough,0,0,0,Yes,4,MTB,1995
8254,4/11/1995,NA,NA,0.5,27.8063,-82.4428,Hillsborough,0,0,0,Yes,4,MTB,1995
8255,4/11/1995,NA,NA,0.5,27.8077,-82.4838,Hillsborough,0,0,0,Yes,4,MTB,1995
